source_value,harmonised_value
8000,Albania
31000,Azerbaijan
40000,Austria
51000,Armenia
56001,Belgium
56002,Belgium
100000,Bulgaria
124000,Canada
191000,Croatia
203000,Czech Republic
208000,Denmark
233000,Estonia
246000,Finland
250000,France
268000,Georgia
276000,Germany
300000,Greece
304000,Greenland
348000,Hungary
352000,Iceland
372000,Ireland
376000,Israel
380000,Italy
398000,Kazakhstan
428000,Latvia
440000,Lithuania
442000,Luxembourg
470000,Malta
498000,Republic of Moldova
528000,Netherlands
578000,Norway
616000,Poland
620000,Portugal
642000,Romania
643000,Russia
688000,Serbia
703000,Slovakia
705000,Slovenia
724000,Spain
752000,Sweden
756000,Switzerland
792000,Turkey
804000,Ukraine
807000,Macedonia
826001,England
826002,Scotland
826003,Wales
840000,USA
